UsageDate,ResourceId,ResourceType,ResourceLocation,ResourceGroupName,ServiceName,ServiceTier,Meter,CostUSD,Cost,Currency
23/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
24/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
24/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
24/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
25/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
25/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
25/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
26/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
26/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
26/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
27/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
27/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
27/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
28/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
28/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
28/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
29/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
29/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
29/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
30/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
30/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
30/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
31/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
31/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
31/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
,,,,,,,,,1288.680726,
